COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS
;;FEGE SAS;14-108-2145--1;;40;1.29;51.5;INOX 304 lac;4;;;;;;0.09;;;0;;;;;;;0.63;;;;;;;0;;;;0;;;0;;;1;;;;;;;;;;;;;;;;FRET;Taraudage;2.36
;;FEGE SAS;14-108-2146--1;;16;1.78;28.46;INOX 304 lac;4;;;;;;0.08;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;1;;;;;;;;;;;;;;;FRET;;3.47
;;FEGE SAS;14-108-2150--1;;104;1.17;121.4;INOX 304 lac;4;;;;;;0.4;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;1;;;;;;;;;;;;;;FRET;;13.31
;;FEGE SAS;14-108-2169--1;;8;6.1;48.78;INOX 304 lac;4;;;;;;0.05;;;0;;;;;;;0.45;;;;;;;0;;;;0;;;0;;;;;;1;;;;;;;;;;;;;FRET;Fraisurage;3.98
;;FEGE SAS;14-108-2320--1;;16;3.44;55.04;INOX 304 lac;4;;;;;;0.05;;;0;;;;;;;0.9;;;;;;;0;;;;0;;;0;;;;;;;1;;;;;;;;;;;;FRET;Fraisurage;1.47
;;FEGE SAS;14-108-2331--1;;32;0.73;23.48;INOX 304 lac;4;;;;;;0.09;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;1;;;;;;;;;;;FRET;;2.4
;;FEGE SAS;14-108-2347--1;;16;3.45;55.2;INOX 304 lac;4;;;;;;0.05;;;0;;;;;;;0.9;;;;;;;0;;;;0;;;0;;;;;;;;;1;;;;;;;;;;FRET;Fraisurage;1.47
;;FEGE SAS;14-108-2407--1;;8;1.28;10.21;INOX 304 lac;4;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;1;;;;;;;;;FRET;;1.11
;;FEGE SAS;14-108-2423A--1;;8;1.29;10.33;INOX 304 lac;4;;;;;;0.04;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;1;;;;;;;;FRET;;0.98
;;FEGE SAS;14-108-2427--1;;8;1.03;8.22;INOX 304 lac;4;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;1;;;;;;;FRET;;0.78
;;FEGE SAS;14-108-2429--1;;8;0.77;6.19;INOX 304 lac;4;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;1;;;;;;FRET;;0.54
;;FEGE SAS;SUPELEC-061--1;;8;2.19;17.54;INOX 304 lac;4;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;1;;;;;FRET;;2.38
;;FEGE SAS;14-108-2142--1;;24;1.16;27.8;INOX 304 lac;3;;;;;;0.13;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;1;;;;FRET;;2.28
;;FEGE SAS;14-108-2162A--1;;8;4.86;38.88;INOX 304 lac;3;;;;;;0.06;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;1;;;FRET;;5.55
;;FEGE SAS;14-108-2170--1;;8;5.66;45.31;INOX 304 lac;3;;;;;;0.05;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;1;;FRET;;6.86
;;FEGE SAS;14-108-2340--1;;32;0.74;23.57;INOX 304 lac;3;;;;;;0.1;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;1;FRET;;2.21
;;FEGE SAS;14-108-2341A--1;;16;0.68;10.88;INOX 304 lac;3;;;;;;0.05;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;1;;FRET;;0.94
;;FEGE SAS;14-108-2408--1;;16;0.28;4.42;INOX 304 lac;3;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;1;;;FRET;;0.29
;;FEGE SAS;14-108-2421--1;;8;0.61;4.86;INOX 304 lac;3;;;;;;0.02;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;1;;;;FRET;;0.47
;;FEGE SAS;14-108-2431--1;;8;1.08;8.64;INOX 304 lac;3;;;;;;0.02;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;1;;;;;FRET;;1.04
;;FEGE SAS;14-108-2432--1;;24;0.19;4.65;INOX 304 lac;3;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;1;;;;;;FRET;;0.29
;;FEGE SAS;TMAX-2104--1;;24;1.85;44.51;INOX 304 lac;3;;;;;;0.12;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;1;;;;;;;FRET;;5.52
;;FEGE SAS;14-108-2139A--1;;24;4.57;109.62;INOX 304 lac;6;;;;;;0.27;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;1;;;;;;;;FRET;;13.27
;;FEGE SAS;14-108-2337--1;;8;4.49;35.93;INOX 304 lac;6;;;;;;0.11;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;1;;;;;;;;;FRET;;3.94
;;FEGE SAS;14-108-2346--1;;16;0.48;7.74;INOX 304 lac;6;;;;;;0.05;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;1;;;;;;;;;;FRET;;0.5
;;FEGE SAS;14-108-2119--1;;16;3.68;58.83;INOX 304 laf;2;;;;;;0.12;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;1;;;;;;;;;;;FRET;;8.32
;;FEGE SAS;14-108-2215--1;;8;4.19;33.56;INOX 304 laf;2;;;;;;0.04;;;0;;;;;;;0;;;;;;;0.21;1;;;0;;;0;;;;;;;1;;;;;;;;;;;;FRET;Pliage;2.84
